name,url,price,country,region,origin_category,total_score,cupper_correction,cupping_dry_fragrance,cupping_wet_aroma,cupping_brightness,cupping_flavor,cupping_body,cupping_finish,cupping_sweetness,cupping_clean_cup,cupping_complexity,cupping_uniformity,flavor_floral,flavor_honey,flavor_sugars,flavor_caramel,flavor_fruits,flavor_citrus,flavor_berry,flavor_cocoa,flavor_nuts,flavor_rustic,flavor_spice,flavor_flavor_body,process_method,cultivar,cultivar_detail,farm_gate,processing,drying_method,arrival_date,lot_size,bag_size,packaging,grade,appearance,roast_recommendations,type,recommended_for_espresso,short_description,full_cupping_notes,farm_notes,watchlist_match,watchlist_farm,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,watchlist_url
Burundi Mutambu Migoti Hill,https://www.sweetmarias.com/burundi-mutambu-migoti-hill-8657.html,$8.95,,"Migoti Hill, Mutambu",Africa,88.4,1,8.7,8.9,8.7,8.9,8.8,8.5,9,8.5,8.9,8.5,0,0,4,2.5,2.5,2.5,2,3.5,0,0,2.5,4,Wet Process (Washed),Bourbon Types,Bourbon,Yes,Wet Process (Washed),Raised Bed Sun-Dried,May 2026,38,60 KG,GrainPro Liner,A1,".2 d/300gr, 15-17 Screen",City to Full City,Farm Gate,Yes,"Excellent light roast brew, elegant, bright, with prevalent sweetness, and top note highlights of cherry, raw sugar, spice tea, rose hips, and a twist of lemon. Dark roasts are best for espresso. City to Full City. Good for espresso.","Layered sweetness is a pervading characteristic in both light and dark roasts, however we felt that dark roasts were best for espresso, rather than brewed coffee. Light roasts have a sparkle of acidity that shines through the sweetness, perfect for a pour-over brew or iced coffee. Maple sweet smells come on strong in the ground coffee, with hints of light brown sugar, and a hint of sweetened chocolate. The wet aroma is also very sweet and refined, with notes of light brown sugar and malt syrup, accented by hints of cherry and loose leaf tea. The cup is bright and refreshing, with notes of cranberry and a twist of lemon that cuts through base raw sugar sweetness. The coffee expresses elegance as it cools, with delicate body, and top note highlights of rose hips, demerara sugar, spice tea, and zested citrus are revealed as it cools. At Full City, semi-sweet chocolate flavors cool to a slightly fruit/cocoa construct, like dark cocoa powder and raisin. I preferred Full City as espresso, where notes caramelized sugars and dark cacao are distilled down into the syrupy-texture, along with a subtle aromatic hint of anise, and a grabby orange note that pulls at the sides of your tongue.","This coffee is from a station called ""Migoti"", also the name of the hill on which it's built. The Migoti mill was built in the last 10 years, and is made up of relatively new equipment, which in and of itself has advantages. The management has done an excellent job of organizing the workflow from wet mill to drying beds too. With plenty of washing tanks, Migoti is well-equipped to manage lot separations in order to isolate different qualities during the main part of the harvest. They have two sets of tanks and the coffee is fermented in 2 stages. The first stage is dry fermentation, where the coffee is poured into the cement tanks without water. After 12 hours, fermentation is well underway. The coffee is then moved to a second tank where water is added and the process continues for another half-day, after which it is soaked in clean water for 4 to 6 hours. Once the fruit mucilage is completely washed away, the coffee is moved to what are called ""skin drying tables"" where it is hand sorted for defects that are easiest to see while the coffee is still wet. Finally, the coffee is moved to raised beds and dried the rest of the way down to 11% moisture. The coffee in this lot is from the surrounding Migoti farmers, but they are also buying from 3 other hills: Rugembe, Murambi (not to be confused with Murambi station, which we also buy) and Masenga.",,,,,,,
Colombia Edward Sandoval Chiroso,https://www.sweetmarias.com/colombia-edward-sandoval-chiroso-8591.html,$11.15,Colombia,"Santa Isabel, Tolima",South America,88.5,.5,8.7,9,8.8,9,8.5,8.5,9,8.5,9,9,1,3,4.5,0,2.5,2,2,2,0,0,3,3.5,Wet Process (Washed),Heirloom Types,Chiroso,Yes,Wet Process (Washed),Covered Sun-Dried,Jan 2026,12,70 KG,GrainPro Liner,Excelso 15+,".2 d/300gr, 15-17 Screen",City to City+,Farm Gate,,"Light roasts are ideal, highlighting an aromatic profile of fragrant sweetness and bracing, high toned accents. Look for notes of panela, Earl Grey, hibiscus drink, spice tea, dried currant, and citrus. City to City+.","This unique Chiroso cultivar from Edward Sandoval has a fragrant sweetness to it, with fragrant aromatics and high toned complexity. At City roast level, the sweetness of the ground coffee has a very nice sweetness of honey and raw sugars, with accents of dark cola and clove spice, and a hint of tea. The wet aroma has a delicate tea note, chamomile with a hint of spice, mixed with accents of panela raw sugar, and lemon balm. The cup has a potent, aromatic sweetness to it, flavors that touch on the perfumed aspects of raw sugars, like panela and demerara, cooling to bright top accents, and brisk finish. The acidity is impressive for Colombian coffee, with a tea-like characteristic that plays into a flavor note of cinnamon bark tea, and tannic Earl Grey. The profile open up to notes of interesting red fruits, black currant, with tart hints of hibiscus drink, and a spritz of lemon. I'm sure this coffee will shine at any roast level, but light roasts are highly recommended to capture the delicate aroma, characteristics that will flatten out with dark roasting.","We were lucky enough to procure another Chiroso lot this year from Edward Sandoval, in Tolima. The variety ""Chiroso"" is prized for aromatic flavors of fruit, tea, and even florals. Chiroso's coming out was a sort of rediscovery at the Colombia COE in 2012, when a farmer from Urrao won 1st place with it. Initially thought to be regressions of Bourbon and Caturra, a scientific journal article recently presented the findings of new research that linked its origin to Ethiopian landraces. This would certainly explain their flavor profile! here are two types known at this time, what they call locally ""Bourbon"" Chiroso, and ""Caturra"" Chiroso, the former being much taller in stature. The farmer who produced this lot, Edward Sandoval, worked for many years as a field technician for the Federacion Nacional de Cafeteros (""FNC""). When he broke away from the FNC and set out to start his own farm, Finca Canta Ranas, he decided to plant varieties that were not promoted by his previous employer due to their need for a higher degree of management, but that are capable of producing a higher value cup, like Chiroso, Wush Wush, Gesha and Moka (we bought his Moka a few years back). Edward's farm is small, just 3 hectares, and stretches up to about 1850 meters above sea level. See more photos of the farm, here.",,,,,,,
Colombia Honey Aponte Jorge Janamejoy,https://www.sweetmarias.com/colombia-honey-aponte-jorge-janamejoy-8521.html,,Colombia,"Vereda El Páramo, Aponte, Tablón de Gomez, Nariño",South America,87.8,1,8.5,8.7,8.5,8.8,9.3,8.5,8.7,8.3,9,8.5,0,2,4,0,3,0,3,4,0,2.5,2,4.5,Honey Process,"Caturra Types, Modern Hybrids","Caturra , Castillo, Colombia.",Yes,Honey Process,Covered Sun-Dried,Nov 2025,10,70 KG,GrainPro Liner,Excelso 15+,".6 d/300gr, 15-17 Screen",City to Full City,Farm Gate,,"Heavy body carries flavors of raw sugar and dried fruited sweetness, with notes of molasses, panela, tangy dried apricot, golden date, and raisin bread with cinnamon. City to Full City.","One of our final honey process lots from Aponte is from Jorge Janamejoy, who's coffee rides that line between unrefined sugars and dried fruits, like many of the delicious coffees from this unique coffee community. The fragrance showed complex sweetness of date sugar, molasses, toffee, and a nutty hint of butter pecan. The wet aroma showed a bit more fruit than the dry grounds, pulpy dark fruit with a winey accent, along with rustic sugars, and a green tea accent. My light City roast brought out complex sweetness of raw sugar natural dried fruits. The cup had panela sugar and molasses notes when hot that shifted to hints of tangy dried apricot, golden date, and raisin bread with cinnamon. It cools to a slight fermented aroma, like winey cider. Full City roasts are big-bodied, and produce more intense chocolate bittering. It had this tasty chocolate/dried peach flavor that finished with darker cocoa bittering in the long finish.","This microlot honey coffee come from Jorge Janamejoy in the indigenous community of Aponte, in Tablón de Gomez, Nariño Department. His farm, Páramo Alto, is located near the town center, and is planted in Caturra, Variedad Colombia and Castillo. Colombia is a country where small farms less than 10 hectares make up more than 95% of the coffee exported, and Aponte is no exception. Jorge's farm is just 2 hectares, and is planted at 2100 meters above sea level. An interesting aspect about coffee from this region is that honey processing is the standard. Each producer handles their own processing at home too, which can mean quite a bit of flavor variation from one neighbor to the next. Jorge lets his coffee cherry rest for a few days before pulping to allow fermentation to start within the fruit. He then removes the outer cherry and allows the the wet seeds to ferment for 1 day in a tank without water before moving to the drying beds. Honey process coffees produce a lot more chaff that wet process during roasting, which is something to keep an eye on. If your roaster doesn't have a chaff collector, or the recepticle is small (like Fresh Roast), you should definitely vacuum between roasts.",,,,,,,
Colombia Nariño Alto Naranjal,https://www.sweetmarias.com/colombia-narino-alto-naranjal-8597.html,$9.35,Colombia,"Alto Naranjal, Buesaco, Nariño",South America,86.8,1,8.5,8.6,8.5,8.5,8.3,8.5,8.7,8.5,8.7,9,0,0,3,4,1.5,1.5,1,3.5,2,0,0,3,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids","Caturra, Variedad Colombia, Typica",Yes,Wet Process (Washed),Covered Sun-Dried,January 2026 Arrival,27,70 KG,GrainPro Liner,Excelso 15+,".4 d/300gr, 15-17 Screen",City+ to Full City+,Farm Gate,,"Underlying caramel sweetness clings to finishing flavors of almond, and cocoa, with tart citrus acidity, and well balanced top notes of praline, panela sugar, and dried fruit. City+ to Full City+.","The dry fragrance has a toffee brittle smell to it, with mild caramel accents, and hint of raisin. The sweetness in the wet aroma has nice complexity, like barley malt, showing unrefined, grain-like sweetness that builds in the steam. City+ roasting teases out an underlying caramel note in the cup that clings to finishing flavors of almond, and cocoa. A light citrus note highlighted a tart acidic impression that structures the bittersweetness underneath. As the coffee cools, top notes of praline nut, panela sugar, and dried fruit come into play and are well balanced to the base sweetness. Full City roasts draw out more of this coffee's bittersweet side that hints at dark chocolate, and caramel glazed almond. It's a profile that pairs well with milk. However, the lighter body means it's not ideal for espresso.","This is a blend made up from the coffees from three small producers in Vereda Alto Naranjal just outside Buesaco town, in Colombia's Nariño Department. We put this blend together after cupping a high volume of samples at the coffee alliance they belong to in Buesaco town, the goal being to separate out any coffees that score 86 points and above, and pay the farmer a high premium for the chance to separate their coffee. The local coffee association was started by two brothers who a few years back stepped out on their own to offer a more direct and transparent option than some of the local competitors. Since we started buying from them, the number of farmers delivering coffee has growing, and we've tasted some truly impressive coffees when cupping at their warehouse on our last visit. Farms are typically planted in Caturra and Variedad Colombia (F4 and F6 types), grown at altitudes between 1700 and 2000 meters, and each contributing lot in this batch are fully washed.",,,,,,,
Colombia Pitalito Franky Peña,https://www.sweetmarias.com/colombia-pitalito-franky-pena-8587.html,$9.35,Colombia,"La Esmeralda, Pitalito, Huila",South America,87.8,1,8.6,8.8,8.7,8.7,8.5,8.5,8.8,8.5,8.7,9,0,0,4,2,2,2,0,3,0,0,0,3.5,Wet Process (Washed),Caturra Types,Caturra,Yes,Wet Process (Washed),Covered Sun-Dried,January 2026 Arrival,18,70 KG,GrainPro Liner,Excelso 15+,".4 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,,"Brews clean, bright cup flavors, with fragrant sweetness that shows aspects of unrefined sugars and fruit. Notes of sucanat, bracing citrus accents, and balanced, bittersweet finish. City to Full City+.","Franky Peña's coffee brews clean, bright flavors, with fragrant sweetness that shows aspects of unrefined sugars and fruit. Grinding a City roast released a potent sweet scent of unrefined sugars, graham cracker, and a hint of dried pineapple. A scent of dark sugar seems almost woven into the steam from the hot cup, where aromatics take shape as dark brown sugar, caramel, and toffee. City roasts offer glimpses of demerara and sucanat sugar in the cup sweetness, with bracing citrus notes that hint at pomelo and dried orange slices. The core bittersweet tone is well balanced, a sweet finish caps things off nicely. Full City level draws out a bit more roast tone, but still carry a briskness in acidity that gives the mouthfeel a lively dimension.","Franky Peña's farm ""Buena Vista"" is located on La Esmeralda village, Pitalito. It's part of an area known as ""El Bombo"", an Andean region where coffee communities have sprung up, benefiting from the cool climate and high altitude zones. Franky is a member of the El Bombo coffee cooperative in Pitalito, who we purchased several lots from last July, including this one. Buena Vista sits at 1700 meters above sea level, and the modest 1.5 hectare area is planted solely in Caturra variety. This small plot of land has been in the Peña family for several generations, with Franky continuing the legacy along with his family. This is a wet process coffee, meaning the fruit is removed from the seed, and fermented before drying in order to remove the sticky layer of fruit mucilage. Wet process coffees are known for more refined flavors, and often well articulated acidity, which is what we found with this coffee.",,,,,,,
Costa Rica Tarrazu Cafetales de Dota,https://www.sweetmarias.com/costa-rica-tarrazu-cafetales-de-dota-8680.html,$8.45,Costa Rica,"Dota, Tarrazu",Central America,86,3,8.2,8.5,8,8.2,9,8.3,8.2,8.3,7.8,8.5,0,0,2.5,3,0,0,0,5,3,1.5,0,4,Wet Process (Washed),"Caturra Types, Modern Hybrids","Caturra, Catuaí",No,Mechanically Washed,Patio Sun-Dried,Jun 2026,30,69 KG,GrainPro Liner,SHB,".7 d/300gr, 15-17 screen",City+ to French,,Yes,"Roast-toned flavors of chocolate and toasted nut are the stars of the show, with creamy body, and mild acidity. The kind of balanced bittersweetness that's sure to please the crowd. City+ to French. Good for espresso.","Cafetales de Dota makes a very nice everyday coffee, and has the kind of balanced bittersweet base flavor that's sure to please the crowd. It's a lower acid cup that trades sharpness for rounded mouthfeel, and roast-toned flavors of chocolate and toasted nut are the stars of the show. The smells showed bittersweet and malty notes, with a muted hint of brûléed suger. The City+/Full City roasts showed a range of cocoa cup flavors, semi sweet chocolate in the lighter roasts, dark cocoa powder in medium, to brooding baking chocolate at FC+ (likely into French for those desiring a really dark roast). As the coffee cools off some, I picked up on a soft hints of caramel, pistachio, almond, and chocolate biscuit. At darker roast levels, especially FC or FC+, the cup has a really nice low tones, and big body with a silky texture. Full City to Full City+ consistently make a nice chocolate-based espresso shot, and would function well for a body/bittersweet blend component too.","Dota is a small subregion adjacent to the Tarrazu valley proper, more remote than the areas where most of the coffee in Costa Rica is planted. Great Dota coffees are fairly small sized seeds, with compact density due to the high altitudes they are cultivated at. Some roasters used to believe that the unique Dota cup character was the result of extra fermentation times at the mill during the wet-processing of the coffee. But in fact it is processed the same way that other Tarrazu coffees are, mechanically washed with demucilagers. If there is difference, it may have more to do with the unique soils that are found in the Dota micro-region of Tarrazu, and the tradition of harvesting the coffee cherry very ripe. This Dota micro mill buys and process coffee from small-holders in the surrounding hillside communities, altitude ranging from as low as 1200 meters to as high as 1900 meters above sea level. The coffee is depulped using a mechanical demucilager, which is typical in Costa Rica. While this process uses very little water and forgoes tank fermentation, they do soak the coffee after removing the skin and most of the fruit which helps to clean up the green coffee seed before sending to the drying patios.",,,,,,,
Espresso Workshop #51 - Silvertone,https://www.sweetmarias.com/espresso-workshop-51-silvertone-8611.html,$9.25,,"East Africa, South America",Sweet Maria's Blends,88.7,.5,8.5,8.7,8.8,9.2,9.5,8.5,8.7,8.5,9.3,8.5,0,0,4,3,3.5,2.5,3,5,2.5,1,2.5,4.5,Various Process Methods,"Bourbon Types, Heirloom Types, Modern Hybrids","Bourbon, Catuaí, Heirloom Varieties",Yes,"Dry Process (Natural), Wet Process (Washed)",Patio and Raised Bed Sun-Dried,,,,GrainPro Liner,Top Grades,".4 d/300gr, 14+ Screen",City+ to Full City+,Farm Gate,Yes,"Like the amplifier for which this was named, our ""Silvertone"" blend is a celebration of big boomy tones and a deep bottom end, with treble-y fruit and spice notes, and reverberating finish. Full City to Full City+. Fantastic espresso.","I found my favorite espresso shots at Full City, where the complex flavors that each origin brings to the blend came through without tasting like they're competing with one another. There's a deep bottom end that anchors the cup, creamy and chocolaty, accented by flashes of red fruits and berries, and a hint of spice in the nose. I pulled both long and short shots, the latter appealing to my personal preference of peak intensity, and big round body (18g in / 20g out). The flavor base is richly bittersweet, crisp dark roast flavors that come off like extra dark chocolate, heightened by syrupy mouthfeel, and a touch of carbonized sweetness up front that reverberates in a long, brooding aftertaste. Notes of fruit reductions and berry syrup fold in nicely, along with hints of dried tamarind and date, and a bright citrus peel bite that comes off a little like dark chocolate orange in context of the rest. The aroma is quite complex, savory hints of toasted barley and nut marked the front of the cup, moving to notes of warming spice, frankincense, and saffron in the finish. I enjoyed Full City as brewed coffee as well. The thick body, and profiles of chocolate-covered nuts and dried fruits would work wonders as a cold brew too.","Like the amplifier for which this was named, our ""Silvertone"" blend is a celebration of big boomy tones and a deep bottom end, with treble-y fruit and spice notes that reverberate in the finish. The Silvertone company made guitars and amplifiers for a few decades, and it's the 1960's models that I'm most familiar with. These were affordable instruments that had every bit of bite as some of the more expensive models they shared a shelf with, so it makes sense that they powered a countless number of small US ""garage"" bands from the 1960's that we love! It was blended with espresso in mind, but has proven to be a great dual-use option too. We're not going to share too many specifics on the ingredients, but it's based around chocolaty dry process Brazilian coffee, and brighter, fruited African lots. Together, they culminate in unique profiles that shift with different roast levels. It can be taken to darker levels too, but I don't think I go beyond Full City+, or around 10-20 seconds into 2nd Crack. There's a small amount of Brazilian coffee that you run the risk of scorching.",,,,,,,
Ethiopia Guji Godina SWP Decaf,https://www.sweetmarias.com/ethiopia-guji-godina-swp-decaf-8612.html,$10.40,Ethiopia,Guji Zone,Africa,88.4,1,8.5,8.8,8.6,8.7,8.2,8.5,8.7,8.5,8.9,10,0,2,3,0,2,0,2,2.5,0,0,1,3,Swiss Water Decaf,Heirloom Types,Heirloom Cultivars,Yes,"Dry Process (Natural) & Wet Process (Washed), then Swiss Water Process Decaf",Raised Bed Sun-Dried,April 2026 Arrival,88,60 KG,GrainPro Liner,Grade 1,"2 d/300gr, 14+ Screen - expect some broken beans from decaffeination",City to Full City,"Farm Gate, Decaf",,"Delicious brewed coffee, cleanly fruited, and can be roasted light without tasting 'decafy' at all. Notes of Turkish apricot, apple, fruit tea, mandarin orange, with caramelized sugar accents. City to Full City.","We sent a blend of our great natural and washed Guji coffees to Swiss Water for decaffeination, and the results came back great! Right from the grinder, the coffee grounds give a good indication of what to expect, with fruited sweetness of stone fruit and red apple, spice notes and caramelized sugar. The wet aroma brought out aspects of baked goods, like apple spice cake, peach Danish pastry, along with hints of marzipan and complex spices in the steam. What a delicious brewed this makes, cleanly fruited, and can be roasted light without tasting 'decafy' at all. In fact, bittering is kept to a minimum in the City/City+ levels leaving room for delicate baking spice aromatics, and deliciously bright fruit hints, like Turkish apricot, apple, fruit tea infusion, and light berry tones. The acidity has fruit character akin to mandarin orange, a pleasant surprise for decaffeinated coffee. We did not roast any darker, but I wouldn't hesitate to get into Full City territory. There were some very pleasant caramelized bittersweet accents in our City+ roast that should develop to something a little more intense at darker levels, while still retaining some of the fruited character.","We sent a blend of our great natural and washed Guji coffees to Swiss Water for decaffeination, and the results came back great! Godina Guji is our latest custom Ethiopian decaf blend that we had processed by Swiss Water Decaf in Vancouver, Canada. What makes it, ""custom"", you might ask? Many of our decafs are pulled from our personal stocks of non-decaf coffees, giving us a unique level of quality control. This means we get to select coffees with flavors we've found will push through the decaffeination process, an ability we've gotten better at over the decade+ we've been working with Swiss. 2/3 of this blend is made up of fruit-forward, dry process coffees, a key ingredient of most of our Ethiopian decafs, and a big part of why they come back tasting so nice. In this case, Guji Godina has convincing origin flavors, fruity, aromatic, and recognizably ""Ethiopian"". Most of it is from three stations where we've sourced excellent coffees through the years, and that should sound familiar to some, Dogo Sodu, Goro Bedessa, and Gogogu. Swiss Water Decaf decaf use their patented chemical-free, water-decaffeination process to remove 99.9% of the coffee's caffeine content. The technique is gentle on the coffee's organic structure, leaving much of the aromatic compounds that affect flavor and aroma intact. Read more about the Swiss Water technique here.",,,,,,,
Ethiopia Uraga Haro,https://www.sweetmarias.com/ethiopia-uraga-haro-8533.html,$9.50,Ethiopia,"Haro Wachu, Uraga",Africa,89.7,1.5,8.7,9.2,9,8.8,8.5,8.6,9,8.2,9.2,9,2.5,3,4,0,2.5,2.5,0,3.5,0,2,3.5,3.5,Wet Process (Washed),Heirloom Types,Heirloom Cultivars,Yes,Wet Process (Washed),Raised Bed Sun-Dried,October 2025 Arrival,115,60 KG,GrainPro Liner,Grade 1,".2 d/300gr, 14-17 Screen",City to Full City,Farm Gate,Yes,"Impressive sweetness and fragrant aroma, rue, lemon basil, aromatic wood, and amber resin. Dark roasts were a surprise hit, bittersweet, jammy flavors, with whole spice. City to Full City. Good for espresso.","This washed lot shows impressive sweetness across a range of roasts, lightly accented by fragrant aromatic highlights, and juicy hints that structure the flavors. The grinds of my City roast had hints of honey, brown sugar, and sweet tea, while Full City developed more of a semi-sweet chocolate tone, accented by dried raisin and date. The aroma brought out a clean scent of warm honey and brown sugar cookies, with a hint of orange spice tea. The cup has a fragrant overlay in light roasts, drawn out by bright lemon-like acidity, and very nice underlying sweetness. City roasts are lively and aromatic, with aspects of fresh herbs like rue, and lemon basil, and light floral hint. This is a late 2025 arrival, and while I do pick up on some woody traces in the finish, it comes off like aromatic incense, and Amber resin. The top notes are muted at Full City, but I really enjoyed the cup nonetheless. It brings a rich chocolate flavor to the brew, with substantial body, cooling to hints of blackberry jam, and whole cinnamon sticks.","This wet process lot is from a privately run site in Haro Wachu, right in the heart of Uraga. The farms in this area reach very high altitudes, over 2200 meters above sea level in some parts. It was processed at the same mill where we sourced our small honey process lot, Haro Wachu. In comparison, this wet process lot is more refined, and aromatic, with fragrant highlights that pointed to florals and fresh herbs. It was also one of a few washed Ethiopia's that we really enjoyed roasted dark, where flavors shift to bittersweet profiles accented by sticky fruit notes. The owner of Haro station operates several wet mills around Uraga, in areas like Yabitu Tome, Kercha, Tabe Berka, and of course Haro Wachu. Like most Ethiopian coffee mills, they buy whole cherry from small farmers in the surrounding region. These are very small farms where coffee is one of a few subsistance crops cultivated by locals, and most are less than 1 hectare in size. It takes hundreds of these small farms to blend together exportable volumes of coffee.",,,,,,,
Flores Dry Process Manggarai Colol Robusta,https://www.sweetmarias.com/flores-dry-process-manggarai-colol-robusta-8569.html,$7.75,Indonesia (Flores),"Colol Village, East Manggarai",Indonesia & SE Asia,86.4,7.5,7.2,7.4,6.5,7.5,10,7.5,7.3,7,10,8.5,0,0,1.5,1,1,0,0,5,2,5,4,5,Dry Process (Natural),Robusta,Robusta,Yes,Dry Process (Natural),Patio and Raised Bed Sun-Dried,December 2025 Arrival,40,60 KG,GrainPro Liner,,"1+ d/300gr, 14 screen - see photo",Full City to French,Farm Gate,Yes,"Nice Robusta example, but still aggressive and intensely bitter. Unsweetened baking chocolate, toasted grain, pungent whole spice, muted sweetness, low acidity, very thick body. Full City to French. Good for milk drinks.","There's nothing quite like Robusta coffee, an important detail to clarify from the drop. If you've tried it before and are back for more, you can skip this part, but all others take note! What typical Robusta coffee lacks in sweetness, it makes up for in intense bittering flavors and body. It is low in acidity, and high in caffeine content, making it a popular choice for dark roasted commercial blends. This is not ""typical"" Robusta, however. It was grown at high altitude, processed with quality in mind, and it shows. It is still incredibly intense, bittering at its core, but the mild top notes and subtle sweetness that make it so drinkable are a testament to the quality-focused efforts of this group. The fragrance and aroma at Full City/Full City+ had a scent of unsweetened cocoa (like Baker's brand), laced with savory toasted grain, and a very slight hint of fruit. I picked up on very subtle sweetness too, and accents of whole spices. The cup came off quite similar, very bitter chocolate, brothy sweetness, cooked barley, coriander, star anise, and lingering finish. Full City+ roasts had a pungent clove note that paired well with the punchy roast bittering. Single origin shots are too intense for my taste, but I think some will enjoy it under a pillow of milk. Body is seriously as thick as it gets for coffee - think heavy whipping cream - and flavors are roasted cacao nibs, leather, mesquite, and a hint of clove in the aftertaste. It would make a really nice blend base.","If you've never tasted it before, Robusta can be quite a shock. I's a distinct species of coffee altogether (""Coffea Canephora"") unrelated to Arabica, known for robust physical characteristics, high productivity, and resilience to disease and fungus. In terms of the cup, Robusta is characterized by intense bittering flavors, thick body, and low acidity. This, in conjunction with a high caffeine content, are what makes it such an attractive option for dark roasted commercial blends. There's been a push in recent years to produce ""Specialty Robusta"", both as a way of adding value to an historically undervalued crop, and also as an alternative revenue source in areas where Arabica is harder to produce. This lot comes from a quality focused effort in Flores, where a small network of Robusta collectors work with neighboring farms in Colol Village to improve harvest and post harvest practices in service of the cup. This lot was the top scoring Robusta from the harvest, and we found it to have a lot more going on than just bittering intensity, like subtle sweet notes, and whole spices. It's still very intense, and nothing like any other coffee on our list. But it's an interesting example of the direction some Robusta growers are taking, showing that by treating their Robusta crops with the care and attention they would Arabica, it makes a positive impact on the cup.",,,,,,,
Green Coffee Subscription,https://www.sweetmarias.com/green-coffee-subscription.html,$33.50,,,Sample Sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Sample Sets,,"Stay in the green with our Green Coffee Subscription! Auto-shipped, pre-selected coffees from some of the best coffee-growing regions we offer. You can choose the frequency of shipments, and select either 4 pounds or 8 pounds per delivery. If you want to change the frequency, or cancel, it's easy to do at any time!","With our Green Coffee Subscription, you'll never have to worry about running out of fresh beans. We'll choose the coffees and arrange shipping according to a schedule that works for you. That leaves you with the fun part: roasting and brewing! It's an economical and convenient way to try coffees from around the world and explore different flavors. For more information regarding how Sweet Maria's subscriptions work, click through to the Farm Notes tab.","By purchasing a subscription, you agree to be billed in accordance with the frequency you selected. Each time you are billed, a new order will be generated. Active subscriptions can be managed any time via your account settings (My Account > My Subscriptions).",,,,,,,
Guatemala Huehuetenango Unión Cantinil,https://www.sweetmarias.com/guatemala-huehuetenango-union-cantinil-8626.html,$8.35,Guatemala,"Unión Cantinil, Huehuetenango",Central America,86.5,2,8.3,8.5,8.2,8.4,8.7,8.4,8.5,8.5,8,9,0,0,3,2,0,0,0,3.5,2,0,0,3.5,Wet Process (Washed),"Caturra Types, Bourbon Types, Modern Hybrids","Bourbon, Caturra, Catuaí, Pache",No,Wet Process (Washed),Patio Sun-Dried,May 2026,64,69 KG,GrainPro Liner,SHB EP,".4 d/300gr, 16-18 Screen",City+ to Full City+,,Yes,"Crowd-pleasing flavors across a wide roast spectrum, bittersweet and balanced, notes of sweet baked goods, chocolate crinkle cookie, caramel-almond, dark-toned cocoa, walnut, a glint of acidity. City+ to Full City+. Good for espresso.","This Huehuetenango lot offers consistent, well-balanced flavors, and works great from medium to dark roast levels. I sensed caramel and cocoa in the dry fragrance, with light nutty hints in the background, and hazelnut chocolate in the wet aroma. This coffee brews crowd-pleasing flavors across a fairly wide roast spectrum, bittersweet balance, with a glint of acidity that structures mild top note hints. City+ roasts brought out accents of toasted nut from beneath compact flavor profile of sweet baked goods, like chocolate crinkle cookie, and caramel-almond bars. Full City roasts swells with a deep-toned flavors of dark chocolate, cocoa bittering in the back end, and a note of walnut if the aftertaste. I think you're going to find a versatile espresso here too. On it's own, Unión Cantinil has layers of dense chocolate/cocoa flavors, and should bring body and bittersweetness to an espresso blend.","The municipality of Unión Cantinil lies to the East of La Libertad, in the mountainous region of Huehuetenango. The hilly peaks of the Sierra De Los Cuchumatanes offer high altitude zones for farming coffee, up to 1600 meters above sea level in this particular area. This is a blended lot made up of several different small lots of coffee. The farmers on average are around 1 hectare in size, and most are growing some combination of Caturra, Catuaí, Bourbon and Pache coffee cultivars. Each farmer is responsible for processing their own coffee, which is generally processed using small depulpers to remove the outer cherry and fruit, then fermented in tanks with water to remove the mucilage, and dried on cement patios over the course of 1 to 2 weeks.",,,,,,,
